compartment_id,year,mean_ndvi,p10_ndvi,p90_ndvi,stddev_ndvi,cv_ndvi
6202,2019,0.8367140721202573,0.7761574255421831,0.8797465929618249,0.04741996979909422,0.05667404359404482
6203,2019,0.8236140509924094,0.783959494542706,0.8529982765515646,0.029577557884094517,0.035911915111762845
6204,2019,0.8512774306724765,0.829594628766496,0.88042813539505,0.037361034666239024,0.04388820062658685
6580,2019,0.8358362185459124,0.8116883297338554,0.860401570717268,0.04451381362897841,0.053256622100461504
6582,2019,0.8549440977805406,0.8374357399815958,0.8715756226880956,0.01924051753353311,0.02250500071698494
6635,2019,0.8315004329860822,0.8077259063720703,0.8488515615463257,0.014997936935208806,0.01803719678334773
6636,2019,0.8596746019323851,0.8308363556861877,0.8835049867630005,0.020334944722504033,0.023654234610159405
6638,2019,0.8408600029919081,0.8123897115389506,0.861730821444304,0.025622915855987978,0.030472273344929877
6640,2019,0.8523650576130569,0.8117468173353417,0.88146775205978,0.030238925768390885,0.03547649624806449
6646,2019,0.8759959245570259,0.8561617757566843,0.8917279839515686,0.015186115387747487,0.017335828811563033
6647,2019,0.8618153408202608,0.8444701072249584,0.8845143141456789,0.015997985431379848,0.018563124457906775
6648,2019,0.8584000196968617,0.8356694620823173,0.8821406676174652,0.01760841316378419,0.020513062394852326
6649,2019,0.8507024577723432,0.8325909076176146,0.8716054748919174,0.016335721437872885,0.019202626357339728
6650,2019,0.8433676846375886,0.8188514894114145,0.8666941577582274,0.02533379247323664,0.030038846560884132
6654,2019,0.8650674697166247,0.8362656831741333,0.8880152702331543,0.022029937188000528,0.025466149126168163
6655,2019,0.853473040158895,0.8362762928009033,0.870994194755404,0.013493640162826304,0.01581027112504237
6659,2019,0.8613373370922215,0.8413389524575217,0.8753320376078287,0.014542493983495813,0.016883621964641223
6668,2019,0.8550697387863828,0.8401188850402832,0.8670299053192139,0.01073358696668267,0.012552878998989088
6675,2019,0.7886781232941973,0.7370583415031433,0.8387701511383057,0.05102398802174112,0.06469557924165707
6677,2019,0.867535891250419,0.8566688895225525,0.8757773041725159,0.00783241993558858,0.00902835261870187
6679,2019,0.8488578526007661,0.8134422302246094,0.8735830741269248,0.02901914602009428,0.03418610775783509
6680,2019,0.854700372423549,0.8090528845787048,0.8847958470834039,0.05269636539896677,0.061654782306392805
6681,2019,0.8561776153605721,0.8228123346599965,0.8870353549718857,0.03153124758100552,0.03682792800852005
6682,2019,0.8482137195211651,0.8227179632522167,0.8704966149832074,0.022720647870339006,0.02678646589584203
6683,2019,0.8418811822457434,0.7891777753829956,0.8706680777618833,0.03121432245114239,0.03707687392165869
6684,2019,0.8609376504775588,0.8402438759803772,0.8766597572912616,0.019348800260438188,0.022474101637563977
6691,2019,0.8173008596675789,0.752902626991272,0.8526009917259216,0.03740796004297216,0.04577012198199218
6693,2019,0.8594768467191802,0.8409534096717836,0.8768414855003357,0.018544222360462752,0.02157617442662975
6694,2019,0.8504527618701497,0.83034747838974,0.8695904264969327,0.024286350222611712,0.02855696554998059
6695,2019,0.8695613988986987,0.8519084144201122,0.8839446613104037,0.013623260418550796,0.01566681827850763
6696,2019,0.8516631356688743,0.8381428837776184,0.8674372812112171,0.012608972025785184,0.014805116597987328
6697,2019,0.8391519905972952,0.816046953201294,0.8608102798461914,0.020096363990423166,0.02394841961361361
6700,2019,0.8598630797981444,0.8306165457260414,0.8821923494338989,0.02296326438298529,0.026705722018412502
6703,2019,0.8773285016574827,0.8591694235801697,0.8889656662940979,0.010687898081965488,0.012182321743535632
7090,2019,0.8125026634501051,0.744322828632696,0.8734288486035595,0.04576340008018821,0.05632400007879912
7130,2019,0.8348392994364526,0.7986727063184016,0.8587834047234577,0.03842494635087847,0.046026757936307894
7135,2019,0.8212725711559614,0.7245920300483705,0.8700701211032006,0.07338892741686799,0.08936001273434868
7867,2019,0.8337250493263315,0.8155275583267212,0.8561251295937432,0.020570915400879422,0.024673500475367968
8720,2019,0.8453609091482756,0.8140375580491318,0.8674231171607971,0.02579970419361087,0.030519159230588015
8721,2019,0.845560375422935,0.7981563959802901,0.8737192641392744,0.03773494580918264,0.04462714538900697
8722,2019,0.862319255217894,0.8536930024623872,0.8735496401786803,0.008814640100637063,0.010222014697340543
